sentiment,review
positive,a shot of an elderly man inside a kitchen.
positive,a small and crowded bathroom with little furnishing 
positive,a trio of dogs sitting in their owner's lap in a red convertible.
positive,a cat in between two cars in a parking lot.
positive,a small car is parked in front of a scooter
positive,a woman sitting on a bench and a woman standing behind the bench at a bus stop
positive,a woman and her dog walking down a sidewalk next to a fence with some flowers. 
positive,a door with a sticker of a cat door on it
positive,an office cubicle with multiple computers in it
positive,a pinewood and green modern themed kitchen area.
positive,a man is playing violin in his kitchen
positive,an old man is wearing an odd hat
positive,a kitchen is shown with wooden cabinets and a wooden celling.
positive,a group of people riding mopeds in a busy street. 
positive,a person walking in the rain on the sidewalk. 
positive,a recently remodeled kitchen with marble and wooden furnishings.
positive,a parade of motorcycles is going through a group of tall trees.
positive,a modern flush toilet in a bathroom with tile. 
positive,a small box filled with four green vegetables. 
positive,a classic car sitting beside the road with a surfboard on top. 
positive,fog is in the air at an intersection with several traffic lights.
positive,three little dogs looking out a car window while sitting on a woman's lap. 
positive,a young man drinking from a water fountain in the shape of a toilet.
positive,an airplane with its landing wheels out landing. 
positive,little birds sitting on the shoulder of a giraffe. 
positive,a woman walking her dog on the sidewalk.
positive,a man with a bike at a marina
positive,the top of a giraffe's head has birds on it.
positive,a plane that is taking off at an airport
positive,a man is sitting on a bench next to a bike.
positive,people are waiting for the bus near a bus stop.
positive,the kitchen has a white door with a window.
positive,a man sleeping with his cat next to him
positive,a kitchen and dining room area with a large window.
positive,four urinals in a public restroom with a window
positive,an red and white airplane is in the cloudy sky.
positive,a black cat drinking water from a toilet
positive,well kept kitchen with marble counter tops and stainless steel fridge
positive,a hope office setup of computers and printers.
positive,a person walking through the rain with an umbrella.
positive,a small child climbs atop a large motorcycle
positive,a large u.s air force plain sits on an asphalt ramp.
positive,a black and white photo of an older man skiing.
positive,a bathroom with four urinals on the wall.
positive,a picture of a modern looking kitchen area.
positive,"a home office with laptop, printer, scanner, and extra monitor"
positive,two people on the snow for cross country skiing.
positive,riding a motorcycle down a street that has no one else on it.
positive,"a kitchen stove, sink, and counter with stuff on it."
positive,a man is sitting on a bench next to a bicycle.
positive,a crowd of people are waiting to get on a red bus.
positive,an all white kitchen with an electric stovetop. 
positive,a cat drinking water from a toilet in a bathroom.
positive,an intersection during a cold and foggy night.
positive,an office with desk computer and chair and laptop.
positive,a person walking in the rain while holding an umbrella.
positive,a woman driver has three dogs in the seat with her.
positive,a man takes a picture of an airplane taking off.
positive,the telephone has a banana where the receiver should be.
positive,the young man is stirring his pot of food with a wooden spoon.
positive,off white toilet with a faucet and controls. 
positive,a fighter jet is flying at a fast speed.
positive,a public bathroom with a bunch of urinals.
positive,the airplane is on the runway with two young men standing by.
positive,a beautiful new kitchen with natural wood cabinets.
positive,the woman in the kitchen is holding a huge pan.
positive,a young boy riding a motorcycle next to a silver car.
positive,a white stove sits between two small counter tops.
positive,a toilet sits next to a window and in front of a shower.
positive,a woman walks her dog along a city street.
positive,a little baby is sitting on a huge motorcycle.
positive,an old bathroom with a row of urinals.
positive,"a neat, wood filled kitchen is photographed as if for a real estate ad."
positive,a woman and another woman waiting at a stop.
positive,a woman and her three dogs in a car.
positive,a small bathroom with a shower curtain with the nyc subway map on it. 
positive,a bathroom with a map as a shower curtain. 
positive,office setting with a lot of computer screens.
positive,a couple of cars parked in a busy street sidewalk.
positive,a passenger plane taking off into the sky. 
positive,a kitchen door next to a kitchen sing and counter top.
positive,a dog and a goat with their noses touching at fence.
positive,a narrow kitchen ending with a chrome refrigerator.
positive,a little boy sitting alone on a motorcycle.
positive,a girl standing next to a toilet in a bathroom.
positive,pedestrians walking down a sidewalk next to a small street.
positive,a chef carrying a large pan inside of a kitchen.
positive,an airplane flying away in a cloudy sky.
positive,a full bathroom with a wicker laundry basket.
positive,two people sitting on dock looking at the ocean.
positive,a man standing in a kitchen while closing a cupboard door.
positive,a small white cat on a large bowl.
positive,people riding bikes and cars down the street. 
positive,a silver color jet flying through the clear sky.
positive,a row of urinals in with an open window above them.
positive,the coconut cake on a red plate is half gone.
positive,a toilet and trashcan in a white bathroom.
positive,a man stands next to his bike at the marina.
positive,two older people sitting down in front of a beach.
positive,an old man standing next to a bike and a chain fence.
positive,a bathroom with pedestal sink and mirror over it.
positive,a photograph of a kitchen inside a house.
positive,a bike leaning on a metal fence next to some flowing water. 
positive,a young person has his face close to the toilet bowl.
positive,a plane that is flying in a clear blue sky.
positive,a person holding a skate board sitting in an empty open field.
positive,a brown purse abandoned on a green bench.
positive,empty fog covered streets in the night amongst traffic lights.
positive,a small toilet stall with a toilet brush and 3 rolls of toilet paper 
positive,a half eaten dessert cake sitting on a cake plate.
positive,a dual sink vanity with mirrors above the sinks.
positive,close up of a white kitchen setup with a coffee maker on counter.
positive,a man taking a drink from a water fountain.
positive,the old man cross country skis through the forest.
positive,a large propeller airplane sitting on a tarmac.
positive,a lot of motorbikes line up down a busy street.
positive,three birds sit on the back of a giraffe. 
positive,a desk and chair in an office cubicle.
positive,a fireplace with a fire built in it.
positive,a giraffe with 3 birds on his fur.
positive,an old couple at the beach during the day.
positive,a white stove and cabinet inside a kitchen.
positive,the sign of a restaurant in the outside of the store.
positive,a decorative man sits on the ground with a cow.
positive,a sign on a building advertising an italian restaurant.
positive,a toilet with a hello kitty symbol on it.
positive,a picture of a woman hangs on the wall above the urinals.
positive,a man sits on a street bench by a bike. 
positive,a crowd of people get ready to board a bus in the city.
positive,there is a piece of cake on a plate with decorations on it.
positive,a man holding some break standing by a bicycle.
positive,small bathroom with a toilet and a sink.
positive,a row of urinals stand beneath a open window.
positive,a white toilet sits on a tile floor.
positive,an airport with one plane flying away and the other sitting on the runway
positive,"a counter with vegetables, knife and cutting board on it. "
positive,a boat that looks like a car moves through the water. 
positive,a car modified to drive in the water on a lake.
positive,a cat stands between two parked cars on a grassy sidewalk. 
positive,creamy cheesecake dessert with whip cream and caramel.
positive,a delivery truck with an advertisement for entourage.
positive,a black and white toilet with a plunger.
positive,"a narrow kitchen is decorated in shades of white, gray, and black."
positive,a younger man and an older man skiing in the forest.
positive,a group of motorcyclists drive down a tree lined street.
positive,a bike leaning against a sign in scotland.
positive,a bike in front of a scenic welcome sign. 
positive,a green kitchen with wooden counters and bright lights. 
positive,"a kitchen with a stove, sink, and drying area. "
positive,a small kitten is sitting in a bowl. 
positive,an opened box of four chocolate bananas. 
positive,an old green car parked on the side of the street.
positive,a toddler sitting on a motorcycle in a parking lot.
positive,a cat at attention between two parked cars.
positive,jumbo jet sits on the tarmac while another takes off
positive,"asparragus, lemons and a bowl of rice on a counter top"
positive,a cat puts her head inside of a toilet. 
positive,a large van features an ad for a television show.
positive,"a toilet has a rug, and a plunger next to it."
positive,a dog sitting between its masters feet on a footstool watching tv.
positive,a large jet takes off from an airport runway.
positive,"a person on a bench, and one on a wheelchair sitting by a seawall looking out toward the ocean"
positive,women father around a desk and machinery in a factory.
positive,three dogs on the lap of a woman in the driver's seat of a convertible.
positive,"the view from a motorcyclist's point of view, looking down a street."
positive,a car modified to be a boat on the water.
positive,a young man and his cute cat enjoy a nap together.
positive,a few items sit on top of a toilet in a bathroom stall.
positive,a dog between the feet of a person looking at a tv.
positive,a sign for an italian restaurant hangs outside a building.
positive,a man rides a motorcycle down an empty street next to houses.
positive,a bathroom with a poster of an ugly face above the toilette.
positive,"a long marble like bath room vanity with a stool, two sink basins with mirrors and lights over them"
positive,a sink next to a large white door 
positive,a dirt bike rider doing a stunt jump in the air
positive,people walking on a city street with light traffic.
positive,"a clean, european toilet with toilet paper and cleaning brush."
positive,a bathroom with only a toilet and tub with the wall covered in plastic
positive,a flock of birds sits on top of a large giraffe.
positive,a couple of birds fly through a blue cloudy sky.
positive,two husky dogs ride in a car with their heads hanging out windows.
positive,a picture advertising arizona tourism in an airport
positive,a man is playing a fiddle in his kitchen.
positive,an older man is wearing a funny hat in his dining room.
positive,a woman's purse sitting on a park bench.
positive,a dog greets a sheep that is in a sheep pen.
positive,a man sits next to his horse in an alley in costume.
positive,a virgin australia airline on the tarmac. 
positive,"the preparation of salmon, asparagus and lemons. "
positive,a group of people are riding motorcycles on a road through a town. 
positive,man in motorcycle leathers standing in front of a group of bikes
positive,a living room containing a modern fireplace and miscellaneous items 
positive,italian reaffaello restaurant sign at front of building.
positive,a child with a skateboard sitting on the grass and looking at an empty field
positive,a cat is drinking water out of a toilet.
positive,a toilet in a bathroom that is next to a trash can
positive,"bikers, dressed in their gear, standing near their motorcycles."
positive,the view of the street from the perspective of the rider of a motorcycle
positive,the computer desk in the corner is by a window.
positive,a dirty toilet in a small bathroom.with items on top.
positive,motorists and bicyclists in a busy city square.
positive,a man is sleeping with his head on a pillow.
positive,a bicycle parked next to a flooded river
positive,a bright room with green walls and cabinets.
positive,this is a kitchen with dishes and a silver sink.
positive,a banana replacing the phone on an answering machine
positive,a man enjoys cooking food in a pan
positive,a narrow bathroom has a white door on its side
positive,two happy dogs have their head out the car window.
positive,a variety of pots are stored in a nook by a fireplace.
positive,a bathroom vanity with cabinets and basin sink and several grooming products scattered across it
positive,two horses eating grass near a parking lot. 
positive,a welcome to scotland sign with a bicycle leaning on it
positive,"an open box contains an unknown, purple object"
positive,"an antique, turquoise car is parked at the curb"
positive,a bicycle figurine in which the front wheel is replaced with a clock.
positive,ma motorcycle parked on the gravel in front of a garage
positive,guy and cow are sitting on the floor 
positive,a car is stopped at a red light
positive,a television that is sitting next to signs
positive,two animals get close through a fence. 
positive,a room contains baskets and has a fireplace. 
positive,a photo set of two women at work
positive,a dog and a person are watching television together.
positive,a bathroom with a traditional toilet next to a floor toilet.
positive,"a kitchen with a stove, sick, and dishes"
positive,a clock with the appearance of the wheel of a bicycle 
positive,a motorcycle with its brake extended standing outside
positive,a woman is holding a large pan in a kitchen. 
positive,a truck with an ad for a television show painted on its side
positive,"a small stall with large tiles, a toilet and two plungers"
positive,a sign outside of a restaurant for italian food. 
positive,a public toilet stall with toilet paper and a cleaning brush.
positive,two horses standing in a field across the stre.et from a building
positive,a squat toilet and a western toilet are next to each other.
positive,a group of motorcycles down a long street filled with trees on either side.
positive,a men's restroom with a poster of a woman over the urinals.
positive,a person is sitting with their dog watching tv.
positive,a large military plane parked in the landing area.
positive,a bathroom with a white toilet and sink.
positive,a large delivery truck with an advertisement painted on it's side.
positive,a small restroom with a single toilet and wooden toilet seat.
positive,a group of people preparing food in a kitchen.
positive,a blue door with a painting of a cat's rear end entering thru a cat door.
positive,an office desk with two flat panel monitors.
positive,a cat is curled up in a bowl
positive,posted signs point the way through a parking garage.
positive,a half eaten cake with coconut shavings and creme filling.
positive,a leather purse laying on it's side on a green metal bench.
positive,white toilet by built-in shelves in a tiled bathroom.
positive,a room filled with clutter and a fireplace.
positive,a green car on display next to a busy street.
positive,a large passenger jet taking off from an airport.
positive,young woman carrying an opened umbrella in a city neighborhood.
positive,a u.s. air force plane sits on display.
positive,a woman walks her dog on a city sidewalk.
positive,a grey and white cat watches from between parked cars.
positive,half of a cake sits on a plate.
positive,a group of men stand next to their bicycles.
positive,two people on skis going through the woods..
positive,a photograph of a bathroom undergoing some renovations.
positive,large bathroom with light flowing in the window.
positive,little girl in blue dress standing in a bathroom. 
positive,a fighter jet soars up into a blue sky.
positive,virgin sponsored airplane parked with a plane leaving in the background.
positive,cooking table with assorted fish and lemons with asparagus. 
positive,a city street with people walking and vehicles on the road.
positive,two men walking the tarmac of an airport.
positive,three men standing around their motorcycles in a parking lot.
positive,group of people all sorting vegetables in a line.
positive,a crowded city street filled with traffic and bicycles.
positive,an older man backing up a truck with a bicycle in it's flat bed.
positive,man sleeping in his bedroom next to a cat.
positive,set of toy animals sitting in front of a red wooden wagon.
positive,group of three motorcyclists standing in front of their motorcycles.
positive,black man sitting on a bench behind a personal bicycle. 
positive,large group of people waiting for a train.
positive,a group of men standing in front of a bar having a conversation.
positive,large set of motorcycles all lined up down a street.
positive,group of three people sailing kites up in the sky. 
positive,an old military jet fighter climbing in altitude.
positive,a man riding a dirt bike becomes airborne.
positive,a lit fire place in a living room next to a tv.
positive,a children play area absent of any children.
positive,an empty kitchen area painted green with bulbous lights.
positive,an adorable little girl in a blue dress stands in a restroom.
positive,fruit in a jar filled with liquid sitting on a wooden table.
positive,a bathroom sink cluttered with multiple personal care items.
positive,a phone with a banana where the receiver should be.
positive,a smiling man is cooking in his kitchen.
positive,a woman wearing a hat & pink top takes a selfie in front of a bathroom mirror.
positive,a beautiful blue and pink sky overlooking the beach.
positive,a telephone has it receiver replaced with a banana.
positive,a man smiles as he stirs his food in the pot.
positive,"an empty, clean toilet stall with a stack of toilet paper."
positive,a white cat caught a bird outside on a patio.
positive,a work station in use inside an office.
positive,"an airplane with the letters 'mt' on it, flying in the sky."
positive,three computer screens showing a panoramic beach scene.
positive,man sleeping next to a cat on a bed. 
positive,a group of motorcyclists are driving down the city street.
positive,white tiled bathroom with line of tiles and asian female poster on the wall
positive,an asian intersection is full of mopeds and motorcycles.
positive,elephants are in a long line with people on top of them.
positive,a bicycle store shows two males leaning toward a bike.
positive,city traffic and pedestrians are headed in multiple directions on the street.
positive,this is an apartment kitchen with white cabinets and appliances.
positive,this is a small kitchen with white cabinets and appliances.
positive,a television is shown in the middle of a baggage claim area.
positive,a very large plane is flying through the sky.
positive,a man is sitting in a busy area with his bike.
positive,people are waiting in a city area to board a bus.
positive,there are some dirt bike riders taking a sharp turn
positive,a large group of motorcycle riders collect in a parking lot. 
positive,the car is at the intersection while the sun is setting.
positive,a truck nears a stop light in rainy weather.
positive,a desk inside a library with a computer and several papers on it.
positive,people sitting under an umbrella looking at the scenery.
positive,a small bathroom with a toilet by the window and a pedestal sink with a mirrored medicine cabinet over it
positive,an airplane flying away in the cloudy sky.
positive,a bicycle chained to a rail near a flooded area.
positive,a cow standing next to a damaged car on a dirty lot.
positive,three computer screens at a desk show a panoramic view of the ocean.
positive,"a workstation with a computer, notebook, and papers."
positive,two men at on an airport tarmac. .
positive,a little bathrood decorated with many colorful objects
positive,a woman walking while holding up a red umbrella 
positive,bicycle leaning up against a welcome to scotland sign.
positive,a bathroom being renovated featuring a toilette and shower.
positive,a sheep and a dog touching noses through a fence.
positive,a little girl in a blue dress stands in a bathroom.
positive,a striped plane flying up into the sky as the sun shines behind it.
positive,a plane that just took off flying from an airport.
positive,a city street busy with many cars driving as well as pedestrians
positive,a dog driving an suv in an open grass covered field.
positive,a man adjust a bicycle in a bike shop with a child.
positive,an airport terminal has a big screen displaying an ad for arizona.
positive,a customized motorcycle with more in the background.
positive,an airplane is ascending into the white sky
positive,women working in a commercial bakery or kitchen.
positive,a purse sits alone on a park bench.
positive,a small wooden table covered with delicious vegetables. 
positive,an office desk with a lot of paperwork and a turned on computer
positive,a sculpture of two women stting on a bench with their purses on the ground while people standing in a line behind them. 
positive,a couple on a motorcycle in front of a bus and a metermaid car
positive,a street full of motorcycles and their riders
positive,an american airlines plane is in the sky
positive,a large group of motorcycles lined up on the street.
positive,a red motorcycle parked on a sidewalk near multi-story buildings.
positive,a dining table with a bowl of garlic cloves.
positive,a sign for a village in scotland with a bicycle in front of it.
positive,a man standing in kitchen surrounded by items.
positive,a model standing next to a scooter in the middle of a room of people
positive,a toilette with a pink hello kitty toilette seat cover.
positive,a toilet with a hello kitty seat sitting in a room.
positive,rather narrow bath room that appears to be being remodeled.
positive,a bathroom in the middle of a reconstruction phase.
positive,a small living room with a fireplace and work baskets..
positive,"mans bathroom with two visible fixtures, trash basket and plunger in sight."
positive,a woman cooking in a kitchen with granite counters.
positive,grey house cat devours a song bird on a door step
positive,a woman cooking in her kitchen with a black pan.
positive,some dogs stick their heads out the car window.
positive,some yellow objects are floating in red liquid in a jar.
positive,an airplane is doing tricks and emitting smoke.
positive,a scenic photograph of an urban street with people and traffic.
positive,computer monitor and accesories sitting on a desk.
positive,several bikers are lined up in a parking lot.
positive,a group of people skiing down a snow covered slope.
positive,a woman takes a selfie in front of a bathroom mirror.
positive,boy rides skateboard and does trick over stairs.
positive,three young people in a kitchen pointing to a pizza.
positive,a person with a colorful umbrella sits on a fountain.
positive,assorted flavored donuts being grabbed by multiple hands.
positive,an outside doorway to a restroom showing a destroyed wall and damaged floor.
positive,"a shot of a kitchen with a microwave, sink, dishwasher, and refrigerator. "
positive,six people in snow field with ski equipment.
positive,woman taking picture of self in bathroom mirror.
positive,two mules eating grass in a parking lot in front of a hotel. 
positive,a car is at a red light in the rain.
positive,a double sink with mirrors and a stool underneath it.
positive,an extravagant dessert on a plate overlooking the water.
positive,a grey and white cat standing in the grass in a parking lot. 
positive,a metal statue of two women sits on a bench in a city street.
positive,"a busy city street with a bus, taxi, and motorcycle."
positive,a man stands with his bike in ankle deep water in a flooded city.
positive,a mens restroom is lined up with urinals.
positive,unfinished bathroom with broken toilet next to a bookshelf.
positive,six different people in aprons and hats preparing vegetables
positive,a motorcyclist is in mid air hanging on to the handlebars.
positive,there is very little traffic at this city intersection.
positive,a tabby cat laying on a cat scratcher in front of a bicycle wheel. 
positive,this a view from an airplane of the landscape below.
positive,a small bathroom containing a toilet and sink. 
positive,"a bathroom with double sinks, mirrors, toilet and towel racks."
positive,the airplane has begun its ascent in the skies.
positive,a flat screen tv with a picture of a person jumping on it.
positive,city street at night with several stop lights.
positive,raw cookies in a pan on the counter and baked cookies in a pan on the stove.
positive,motorcyclist meeting with one another before a ride.
positive,a kitchen area with a cooler and container stacked on the floor and a man getting an item out of a cabinet.
positive,group of people are flying kites on the beach.
positive,there are two sinks in the clean bathroom.
positive,"a toilet stall, complete with two clean toilets."
positive,a blue door with a picture of a cat door with cats backside hanging out on it.
positive,"an office desk with two computer screens, books diagrams and a phone on it."
positive,one airplane is taking off from an airport while others are parked.
positive,"a kitchen counter with cutting board, knife and food."
positive,a kitchen table with a juicer and vegetable on it.
positive,a man looking out the back window of his truck.
positive,three traffic signs at the entrance of a parking garage. 
positive,"bathroom containing a toilet, a sink and a wicker basket."
positive,a black and white photograph of a motorcycle.
positive,a motorcycle moves forward down an empty street.
positive,a room with a fir place and several baskets and a bench in the background.
positive,a fancy bathroom with his and her mirrors and sinks next to a toilette.
positive,a view from a window on board an airplane flying in the sky.
positive,a picture of a cat door is on the bottom corner of a blue door.
positive,two computer monitors are placed beside each other on a desk.
positive,tub and shower on platform in modern tiled bathroom.
positive,a bathroom with an odd toilette next to a normal toilette.
positive,an aerial stunt plane in a climb with smoke coming out of the back.
positive,an orange reddish rose in a vase filled with water on top of a table.
positive,there is no picture or image sorry sorry
positive,a bicycle leans against a fence near some flood waters.
positive,a cat pausing as it's picture is taken.
positive,a desk with multiple computer screens forming one large screen.
positive,a row of park benches on the side of a green grassy hill. 
positive,a beautiful young lady walking in the rain while holding an umbrella.
positive,a blue eyed tabby cat crouched on the ground. 
positive,a broken toilet bowl with  a hello kitty toilet seat cover.
positive,a woman in a flowered dress taking a selfie in a bathroom mirror.
positive,a man in an atv is moving the cows along.
positive,"a kitchen with a refrigerator, microwave, dishwasher and sink."
positive,a scooter is parked behind a red car.
positive,a sculpture of a green hot rod on a city sidewalk
positive,the view of a large bathroom with a walk in closet.
positive,three road signs posted in a parking garage.
positive,an apple computer on a table next to an iphone and an ipad.
positive,black and white photo of a parked motorcycle
positive,a bathroom with a shower combination tub and sink.
positive,a bathroom with his and her mirrors and sinks.
positive,restaurant staff taking a break near the bar.
positive,a craft supply room with craft supplies and containers.
positive,a man with a colored umbrella sits on a monument.
positive,"many sheep grazing in a large, green pasture."
positive,a black trash bag in a restroom next to a sink.
positive,a young man standing next to a race car with the red sox logo on it's hood.
positive,a guy sitting on his motorcycle while a woman stands beside him
positive,several men having a conversation at a restaurant.
positive,a fighter jet flying through the sky with smoke coming off of it.
positive,a man plays the violin in a home.
positive,a man in a jacket and hat looks at the camera.
positive,"several toy animals - a bull, giraffe, deer and parakeet."
positive,a man is riding a tractor following some cows.
positive,a door for exiting and entering the house in the kitchen.
positive,two young men walking down a runway toward an airplane.
positive,a sculpture of a hot rod sitting on a sidewalk.
positive,an adorable caleco cat sitting underneath a bicycle.
positive,an adorable cat attempts to hide in a purse to steal the persons identity.
positive,a person performs a stunt jump on a motorcycle.
positive,the bike shop employee is helping a customer. 
positive,a very big teddy bear is next to a woman.
positive,many sheep graze in a grassy pasture in a valley. 
positive,a bathroom with a double sink and mirrors.
positive,a bmw motor cycle parked next to shrub..
positive,a group of people with a bunch of doughnuts. 
positive,a brick fireplace with fire adorned with knick-knacks.
positive,a small car parked in by a vespa.
positive,a man sis on a public area while holding an umbrella.
positive,an older woman in a flower dress takes a self photo in the mirror.
positive,a photograph taken from an airplane window while in flight.
positive,assorted items on a counter top in a kitchenette.
positive,a man and a boy are talking about a bicycle in a store.
positive,a group of people are in a line working on green vegetables.
positive,a bathroom with a walk-in closet and a jacuzzi tub.
positive,a white and beige tiled bathroom and adjoining walk-in closet.
positive,several people riding on the back of elephants
positive,"a  tiled bathroom with a sink, shower, and tub."
positive,a dog sits in the front seat of a jeep. 
positive,a clean kitchen with the windows white and open.
positive,man in air on skateboard at night by light of street lamps.
positive,a man sitting on a stone block talking on a cell phone.
positive,a model posing next to a motorbike at a motorcycle show.
positive,a yellow stripped cat sitting in a bathroom sink.
positive,a person in a helmet standing by their motorcycle.
positive,a cafeteria type kitchen that is not in use.
positive,some toy animals on the ground near a picture
positive,a young woman standing next to a dirt bike at an automobile event.
positive,a young man jumping up into the air to catch a frisbee.
positive,a work area room that is very very clean.
positive,a group of men riding elephants down a street surrounded by trees.
positive,a black motorcycle parked in front of trees.
positive,an urban intersection with stoplights on a cloudy day.
positive,a man on a bike in a street that is flooded.
positive,a motorcycle that is parked on the side of the road.
positive,people in a city cross in front of traffic. 
positive,a biplane performing tricks in the sky with smoke coming from behind. 
positive,a man walks down the strip as it rains.
positive,"a man relaxing at home, watching television with his dog."
positive,children's toy animals are strewn across a floor.
positive,a glass bowl filled with oranges on a table.
positive,a yellow dune buggy on display amongst other automobiles.
positive,a motorcyclist stands next to a motorcycle at a lookout over a beach.
positive,a motorcycle is parked on a cobblestone road
positive,a toilet seat is left open inside of a bathroom.
positive,a doorway  looking into a demolished bathroom
positive,a cat is falling asleep on top of a scratching pad.
positive,a computer desk with a triple monitor computer setup.
positive,"a red, white, and blue plane is in the sky."
positive,people riding on top of elephants that are walking in a line across a road. 
positive,there is a jar filled with an unknown liquid and solid.
positive,a young attractive woman sitting on a toilette on the side of a street.
positive,"six people, adults and children, wearing skis and helmets standing or skiing on snow."
positive,a women is taking a picture of herself and her bathroom in the bathroom mirror.
positive,a woman is taking a picture of herself in a bathroom mirror.
positive,dirt bikers racing around a corner on the track
positive,a young woman using a laptop computer while sitting on a bunk bed.
positive,a toilet in a stall with remote control buttons.
positive,a broken down car being investigated by a cow.
positive,pedestrians are strolling along a city sidestreet in a touristy neighborhood.
positive,this is a parking garage with several signs.
positive,someone jumping up to get a frisbee out of a tree
positive,skateboarder does airborne trick in front of concrete steps.
positive,several custom made motorcycles on display while riders chat.
positive,a skateboarder is riding his skateboard at night.
positive,white and yellow propeller stunt plane trailing smoke while climbing steeply.
positive,a black cat with white stomach takes a pose.
positive,a jar of homemade sangria sitting on a table.
positive,a man on a bicycle stands in flooding waters.
positive,an overhead view of a landscape from a plane.
positive,a gang of bikers sitting on top of motorcycles on a sidewalk.
positive,an old victorian style bed frame in a bedroom.
positive, a flock of sheep spread out in  a grassy pasture.
positive,two computers sitting on top of a desk.
positive,a group of children and adults are skiing in the snow.
positive,a woman is taking a picture of herself in a bathroom mirror.
positive,motor bike racers race each other around a track.
positive,a young child stands in the kitchen with an adult.
positive,"a man in shorts sits on his bike, surrounded by flood water up to his calf. "
positive,a figher jet creating condensation flying through the blue sky.
positive,a plane flies through the sky at an angle. 
positive,a woman kisses a man as they sit on a motorcycle.
positive,three motorcyclists and their bikes stand on the pavement.
positive,a man and a woman cook in the kitchen.
positive,a black motorcycle in front of some shrubs. 
positive,"a living room, with fireplace, television, and throw rug."
positive,a man herds cows down a road. 
positive,a plane is shown taking off from an airstrip.
positive,a commercial kitchen with pots several pots on the stove.
positive,a girl observes a life size toy kitchen.
positive,an industrial kitchen with white walls and stainless steel counters.
positive,a team of chefs work together to prepare a meal.
positive,a jar filled with liquid sits on a wood surface.
positive,a picture taken from the driver seat of car at a stop sign.
positive,a black and white cat sits near a window looking outside.
positive,the exterior of an airport with some planes.
positive,a man sits in the drivers seat of a truck.
positive,a group of people ski down the mountain slope.
positive,a woman stands in front of the mirror to take a picture.
positive,a cow stands in the mud next to a car.
positive,a cat looking inside of a door from the outside.
positive,a person in a kitchen looking at the oven.
positive,an overview picture of a street at night.
positive,dirt bike racers rounding a corner on a track with orange barriers
positive,a man points at the wall in his kitchen.
positive,two women loading their bicycles onto a bus rack
positive,several people around some motorcycles on the side of a road.
positive,a customized motorcycle with a large rear and skinny front tire
positive,a man in a truck looks out his rear window.
positive, directing signs in front of a parking garage
positive,a view of a bathroom that is clean.
positive,a series of motorbikes parked in a row on a street
positive,a garbage bag in a white lighted bathroom
